ASM,Contrast,IDM,Entropy,Homogeneity,Sum Mean,Maximum Probability,Dissimilarity,Difference mean,Autocorrelation,Class
-3.795682474149220803e-02,1.605148530946819418e-01,-1.123890290855016350e-01,8.465725024843995250e-02,-1.089963903567005427e-01,-1.018262215526232750e-01,4.162116397176401916e-02,1.712443128287227112e-01,-6.713296129413820479e-01,-1.610486389888957370e-01,1
7.044531238051087163e-01,-3.031963463350885180e-01,5.724326718287506832e-01,-6.878709365100167394e-01,5.658855950677554869e-01,-7.386888387210076568e-01,6.996286045185915459e-01,-3.072088576889702716e-01,-9.149341458691914175e-01,-7.531032479058832330e-01,1
-8.388540850247087899e-02,-1.989489352520570631e-01,-3.554571323827365043e-02,1.507028647606742655e-01,-1.851413506434001696e-02,2.072772126335182055e-02,-4.913122225539043840e-04,-1.862060976693872827e-01,-1.361801059777334011e+00,3.414510919599263866e-02,1
1.097426514862646973e+00,-4.446543960490838554e-01,9.232350002018681057e-01,-1.054876151989146527e+00,9.108344048625413025e-01,-1.049471811366174068e+00,1.026000295028799858e+00,-5.057041989238332258e-01,-7.008104162892696554e-01,-1.050137552756821524e+00,1
8.928909746331029629e-01,-3.934388781179387062e-01,7.545232711852132290e-01,-9.025559471672413014e-01,7.425630632875722670e-01,-8.996521313272473064e-01,8.575503902515281274e-01,-4.209069891517742135e-01,-9.304503581576060167e-01,-9.152992706744476070e-01,1
-6.601161609119163831e-01,-2.649992280732653693e-01,-3.822461267677774305e-02,6.132742265060794340e-01,-6.101284619407908866e-02,7.391038007076726757e-01,-5.663777110953714944e-01,-2.851361757453249601e-01,-1.459553197189642493e+00,8.909591467904096618e-01,1
-1.272263519523498809e+00,-3.001272985441389984e-01,-3.679238650508857567e-01,1.202538165600455455e+00,-3.814614195302294952e-01,1.505665686340660114e+00,-1.229649211160123157e+00,-2.656042341643565785e-01,-2.159334371395241092e+00,1.758600272649432306e+00,1
3.062348961391780922e-01,4.769399436949362525e-01,-5.423322319507487693e-02,-2.167741939202062207e-01,-5.011502393525012894e-02,-4.575963708491789239e-01,3.548327056701859883e-01,4.208720539712831887e-01,-6.992587950603280644e-01,-5.636991406489181289e-01,1
-3.871436281071547469e-01,-2.981887877506299023e-01,-2.156149017845143956e-01,4.971569264359730900e-01,-1.985744324407559824e-01,4.035572445917905982e-01,-2.900145860648553620e-01,-2.622695124351424045e-01,-1.357146196091510548e+00,5.047874558626036512e-01,1
-9.180238303120917820e-01,-6.171286185319406759e-01,-2.730208830272544684e-01,9.439190664737587833e-01,-2.521671625103595882e-01,1.047126665618837826e+00,-8.348447468320263631e-01,-5.571541913730242435e-01,-9.707925101070836726e-01,1.231795767984488865e+00,1
-2.623483631721119091e-01,-8.090662410370339508e-01,3.907310388140562418e-01,2.564400549930099804e-01,3.860290257200628128e-01,3.344771648402442565e-01,-1.715732467672747563e-01,-7.996361002321129563e-01,-1.158538678792997656e+00,4.855160408299494801e-01,1
-1.530507102768232874e+00,1.540361871547426986e+00,-1.684024284436612673e+00,1.478546664063341121e+00,-1.715606600111623692e+00,1.361159858601959982e+00,-1.537596693340621989e+00,1.627882524964030519e+00,-2.171747341230776396e+00,1.167600104165463337e+00,1
-4.135870276605919660e-01,-1.011971011871674264e+00,4.063214426814794056e-01,2.970902141186579359e-01,4.073007038645419242e-01,6.420873033526326434e-01,-3.215989432063499631e-01,-1.008770791758090590e+00,-1.371110787148981602e+00,9.567844003681211795e-01,1
6.727736126776882042e-01,1.975000106472525885e-01,3.150476388259915717e-01,-6.081835401912677463e-01,3.165899548082057868e-01,-7.650259415650140227e-01,6.733083068950209693e-01,1.382146880473476835e-01,-8.668338877750060290e-01,-8.467714021474528341e-01,1
-1.369405876940110955e+00,1.262490910898776519e+00,-1.261946897062880879e+00,1.254292665756937986e+00,-1.309477602566109011e+00,1.202492356540249885e+00,-1.345458520698740612e+00,1.325375624917633166e+00,-2.077098446272347854e+00,1.045958955956990621e+00,1
-8.061133915512538883e-02,-1.026079236665361494e+00,5.694454474030230529e-01,-1.478754063201435411e-02,5.656250058472569453e-01,2.457409907171577146e-01,-4.913122225539043840e-04,-1.020680512230543568e+00,-1.502998591604008949e+00,4.913095943380834107e-01,1
5.984177745534496884e-01,1.993508343665026106e-01,2.254051415439045636e-01,-4.889718397755162815e-01,2.335212566359307351e-01,-6.799785095598657181e-01,6.101395926035445560e-01,1.418670023282979920e-01,-1.026650874344976039e+00,-7.458454111608500137e-01,1
2.292484599849604621e-01,4.561299206566964970e-01,-1.745534197345968153e-01,-1.466897123293658678e-01,-1.563948911742205350e-01,-3.915859436406999294e-01,2.863999318522974513e-01,4.251595533403416671e-01,-1.631783153595148139e+00,-5.025357266824289626e-01,1
